task_id,label,theta,algo,alpha,alpha1,alpha2,alpha3,alloc,n_j,N_j,L,U,covered,width,width_clip,L_tilde,U_tilde,delta_L,delta_U,W1,W2,W3
rep0000,0.25,0.2478634861040341,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.06798682054505595,0.5315916728292883,True,0.46360485228423237,0.46360485228423237,0.32961002249232746,0.3793899775076725,-0.2616232019472715,0.1522016953216158,0.049779955015345045,0.12532489726888718,0.2885000000000001
rep0001,0.37,0.3686079524634063,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.08457768853937808,0.6352925828285524,True,0.5507148942891743,0.5507148942891743,0.4032477629549444,0.4547522370450556,-0.31867007441556633,0.1805403457834968,0.05150447409011116,0.13171042019906315,0.3675
rep0002,0.17,0.17032800314766197,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.08923374153202684,0.5649383317974419,True,0.47570459026541506,0.47570459026541506,0.3473441923845055,0.3976558076154945,-0.25811045085247863,0.1672825241819474,0.05031161523098904,0.12739297503442598,0.29800000000000004
rep0003,0.41,0.4119903665842383,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.3067884599296865,0.7768044033038275,True,0.470015943374141,0.470015943374141,0.5568407200028704,0.6081592799971296,-0.25005226007318393,0.16864512330669787,0.05131855999425916,0.12419738337988184,0.2945
rep0004,0.36,0.36322332650332373,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.04985398686212972,0.5103725295667718,True,0.4605185427046421,0.4605185427046421,0.3060246289959522,0.35497537100404786,-0.25617064213382246,0.155397158562724,0.04895074200809568,0.12456780069654644,0.28700000000000003
rep0005,0.28,0.27660752268158256,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.0708545155834513,0.5414309023127217,True,0.47057638672927043,0.47057638672927043,0.31191437466900684,0.3610856253309932,-0.24105985908555555,0.18034527698172853,0.049171250661986354,0.1259051360672841,0.2955
rep0006,0.40,0.39522788491940364,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.14095339204738888,0.6812982465637746,True,0.5403448545163857,0.5403448545163857,0.4460249602000088,0.49797503979999114,-0.30507156815261993,0.18332320676378341,0.051950079599982324,0.11889477491640338,0.3695
rep0007,0.34,0.34221851206383785,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.1650706401220855,0.6515379464145883,True,0.4864673062925028,0.4864673062925028,0.41119147545183876,0.46280852454816124,-0.24612083532975326,0.1887294218664271,0.051617049096322476,0.12535025719618037,0.3095
rep0008,0.89,0.8876454917096256,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.6254967655509911,1.0761769561560561,True,0.45068019060506503,0.3745032344490089,0.8678693902805317,0.9011306097194682,-0.24237262472954063,0.17504634643658795,0.03326121943893656,0.09691897116612852,0.32050000000000006
rep0009,0.13,0.13218242080353054,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,-0.023813288003029287,0.4220035390440322,True,0.4458168270470615,0.4220035390440322,0.20472127138032917,0.24827872861967085,-0.22853455938335845,0.17372481042436133,0.04355745723934168,0.13575936980771974,0.26650000000000007
rep0010,0.32,0.32181545181669885,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.19431612841163307,0.6433305517393595,True,0.44901442332772645,0.44901442332772645,0.42759688522218586,0.47940311477781417,-0.2332807568105528,0.16392743696154535,0.0518062295556283,0.12270819377209813,0.2745
rep0011,0.29,0.2854083438878526,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.18541210299678484,0.6234550810390821,True,0.43804297804229725,0.43804297804229725,0.4315782879751183,0.4834217120248817,-0.24616618497833348,0.14003336901420038,0.05184342404976339,0.13019955399253386,0.256
rep0012,0.44,0.43703005404805023,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.23984704643240556,0.6940990339153539,True,0.4542519874829483,0.4542519874829483,0.4749841873240683,0.5270158126759318,-0.2351371408916627,0.1670832212394221,0.05203162535186351,0.11122036213108477,0.29100000000000004
rep0013,0.62,0.6208052270470665,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.2458264909845638,0.6851187714242588,True,0.43929228043969504,0.43929228043969504,0.47248425236394137,0.5245157476360586,-0.22665776137937757,0.16060302378820018,0.0520314952721172,0.11126078516757776,0.276
rep0014,0.71,0.7147259999129039,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.4802872520813033,0.9085790439581437,True,0.4282917918768404,0.4282917918768404,0.7033065830322626,0.7496934169677375,-0.2230193309509593,0.1588856269904062,0.046386833935474936,0.12240495794136552,0.25949999999999995
rep0015,0.39,0.39454122151151017,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.1403422529641129,0.5790508608591832,True,0.4387086078950703,0.4387086078950703,0.3963026460891099,0.44769735391089005,-0.255960393124997,0.13135350694829317,0.05139470782178013,0.11831390007329018,0.269
rep0016,0.17,0.16665588411027546,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,-0.0749877507183338,0.38240743118161014,True,0.45739518189994394,0.38240743118161014,0.18014838587129683,0.2218516141287032,-0.25513613658963064,0.16055581705290695,0.041703228257406355,0.12419195364253754,0.29150000000000004
rep0017,0.52,0.5214065008427691,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.2757161238516388,0.7297976366268173,True,0.4540815127751785,0.4540815127751785,0.5361849200667268,0.5878150799332733,-0.260468796215088,0.14198255669354393,0.05163015986654651,0.12495135290863207,0.27749999999999986
rep0018,0.36,0.35939977730659944,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.0609257468402265,0.562005708243298,True,0.5010799614030714,0.5010799614030714,0.32223207698415596,0.371767923015844,-0.26130633014392946,0.19023778522745396,0.049535846031688036,0.13054411537138338,0.321
rep0019,0.35,0.35459743075612077,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.10868447677542692,0.5760146971841922,True,0.46733022040876526,0.46733022040876526,0.3586939577168282,0.4093060422831718,-0.2500094809414013,0.16670865490102044,0.050612084566343585,0.12771813584242175,0.289
rep0020,0.88,0.8825365524342114,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.5913617214998436,1.0641108034055549,True,0.4727490819057113,0.40863827850015644,0.8567333037160262,0.8912666962839738,-0.2653715822161826,0.172844107121581,0.03453339256794763,0.12321568933776367,0.31499999999999995
rep0021,0.59,0.5949598193481452,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.29083994137547975,0.7872489341047202,True,0.49640899272924044,0.49640899272924044,0.5644090625518375,0.6155909374481624,-0.2735691211763578,0.17165799665655782,0.051181874896324864,0.12672711783291557,0.3185
rep0022,0.72,0.7170696852830631,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.5671464300308795,1.001926290457981,True,0.4347798604271016,0.4328535699691205,0.8167339215737451,0.8552660784262548,-0.24958749154286564,0.14666021203172636,0.03853215685250966,0.11974770357459208,0.2764999999999999
rep0023,0.39,0.3897887441590057,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.009024298235933398,0.46396844829204,True,0.45494415005610656,0.45494415005610656,0.24738656228392888,0.2936134377160712,-0.2383622640479955,0.17035501057596877,0.046226875432142295,0.1247172746239642,0.28400000000000003
rep0024,0.56,0.5618562370971357,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.4311467559582966,0.8992236128199318,True,0.4680768568616352,0.4680768568616352,0.6715552406450216,0.7194447593549784,-0.240408484686725,0.17977885346495343,0.047889518709956835,0.12218733815167843,0.298
rep0025,0.15,0.1536743850699371,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,-0.11900824347394151,0.4078716677956734,True,0.526879911269615,0.4078716677956734,0.1633597716666404,0.2036402283333596,-0.2823680151405819,0.20423143946231379,0.0402804566667192,0.12259945460289567,0.364
rep0026,0.45,0.4470975824569302,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.23866790602985266,0.7132861619962976,True,0.4746182559664449,0.4746182559664449,0.4874936198038401,0.5395063801961598,-0.24882571377398743,0.1737797818001378,0.052012760392319723,0.11710549557412525,0.3055
rep0027,0.15,0.14555732938848953,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.12489015943844686,0.5782827593733042,True,0.45339259993485737,0.45339259993485737,0.36560984886020637,0.41639015113979366,-0.2407196894217595,0.16189260823351057,0.0507803022795873,0.12511229765527004,0.2775
rep0028,0.72,0.7158400826850747,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.46591613714914565,0.9382738359464085,True,0.4723576987972628,0.4723576987972628,0.6971505766332049,0.7438494233667952,-0.23123443948405925,0.19442441257961324,0.04669884673359026,0.10915885206367243,0.31650000000000006
rep0029,0.33,0.3291877284663172,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.05205595236649574,0.5310382772659263,True,0.4789823248994306,0.4789823248994306,0.2927892499539998,0.3412107500460002,-0.24073329758750406,0.18982752721992613,0.048421500092000413,0.1260608248074302,0.3045
rep0030,0.79,0.7937062466334305,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.44707324598322834,0.8792275532308295,True,0.4321543072476011,0.4321543072476011,0.6879262527940785,0.7350737472059216,-0.24085300681085015,0.14415380602490788,0.04714749441184307,0.09950681283575802,0.2855
rep0031,0.67,0.6704077234134693,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.37875506752229876,0.900791223519193,True,0.5220361559968942,0.5220361559968942,0.6730885471544912,0.7209114528455087,-0.2943334796321924,0.17987977067368432,0.04782290569101755,0.1272132503058767,0.34700000000000003
rep0032,0.49,0.49161387479740387,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.2228679170598179,0.6927990236979003,True,0.46993110663808235,0.46993110663808235,0.48248789485638516,0.5345121051436148,-0.25961997779656726,0.15828691855428542,0.052024210287229644,0.12640689635085267,0.2915
rep0033,0.73,0.7281359113887491,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.19240522471164268,0.6652152694440968,False,0.47281004473245414,0.47281004473245414,0.47048477268878036,0.5225152273112197,-0.2780795479771377,0.14270004213287713,0.052030454622439326,0.13277959011001478,0.28800000000000003
rep0034,0.26,0.25795044332393025,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.11577764832616183,0.5439212358819139,True,0.42814358755575205,0.42814358755575205,0.3552380863096457,0.4057619136903543,-0.23946043798348388,0.13815932219155955,0.0505238273807086,0.09961976017504348,0.2779999999999999
rep0035,0.31,0.31207276260600325,alg2,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,-0.01705017676111864,0.4652102004448687,True,0.48226037720598736,0.4652102004448687,0.2639506122847849,0.31104938771521506,-0.28100078904590353,0.15416081272965365,0.04709877543043017,0.1266616017755573,0.3084999999999999
