task_id,label,theta,algo,alpha,alloc,L,U,covered,width,width_clip
model-61,model-61,0.5789872322008224,alg3,0.1,prop_127,0.5586615102226157,0.589723548109837,True,0.031062037887221283,0.031062037887221283
model-19,model-19,0.5,alg3,0.1,prop_127,0.4776002104150587,0.5100087845637087,True,0.032408574148650005,0.032408574148650005
claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,0.4531099967993172,alg3,0.1,prop_127,0.4475335020668087,0.4792031650797996,True,0.0316696630129909,0.0316696630129909
claude-opus-4-5-20251101,claude-opus-4-5-20251101,0.5285029302077784,alg3,0.1,prop_127,0.5128699591786393,0.5454160853155401,True,0.03254612613690078,0.03254612613690078
claude-opus-4-6,claude-opus-4-6,0.5888912832668893,alg3,0.1,prop_127,0.5649246973852423,0.5961218453389711,True,0.031197147953728743,0.031197147953728743
claude-opus-4-6-thinking,claude-opus-4-6-thinking,0.596816522136011,alg3,0.1,prop_127,0.5727677625863151,0.6050165349791038,True,0.03224877239278867,0.03224877239278867
claude-opus-4-7,claude-opus-4-7,0.5681009212730318,alg3,0.1,prop_127,0.5465461140374241,0.5785912617211421,True,0.03204514768371791,0.03204514768371791
claude-opus-4-7-thinking,claude-opus-4-7-thinking,0.5697576838350992,alg3,0.1,prop_127,0.5503470077856756,0.5822111472465121,True,0.03186413946083655,0.03186413946083655
claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,0.528042442615851,alg3,0.1,prop_127,0.5072984633614562,0.5395059346963389,True,0.032207471334882665,0.032207471334882665
claude-sonnet-4-5-20250929-thinking-32k,claude-sonnet-4-5-20250929-thinking-32k,0.5146166574738004,alg3,0.1,prop_127,0.4996209257707624,0.5307607816030128,True,0.031139855832250374,0.031139855832250374
claude-sonnet-4-6,claude-sonnet-4-6,0.5379706445437141,alg3,0.1,prop_127,0.518850559776412,0.5492340608060664,True,0.03038350102965437,0.03038350102965437
model-46,model-46,0.5579974271012007,alg3,0.1,prop_127,0.5595718883663333,0.5904334572007574,False,0.030861568834424036,0.030861568834424036
model-32,model-32,0.4424595941183619,alg3,0.1,prop_127,0.433139042100792,0.46493880817251,True,0.03179976607171797,0.03179976607171797
deepseek-v4-ch3-text,deepseek-v4-ch3-text,0.4907120743034056,alg3,0.1,prop_127,0.482271316182595,0.5146855645681269,True,0.03241424838553186,0.03241424838553186
deepseek-v4-ch3-thinking-text,deepseek-v4-ch3-thinking-text,0.4734115495962212,alg3,0.1,prop_127,0.4699805412752805,0.5023269380747898,True,0.03234639679950929,0.03234639679950929
deepseek-v4-pro-ch1-text,deepseek-v4-pro-ch1-text,0.5198769522006625,alg3,0.1,prop_127,0.5000870813813264,0.5323315898209564,True,0.032244508439630004,0.032244508439630004
deepseek-v4-pro-ch1-thinking-text,deepseek-v4-pro-ch1-thinking-text,0.5123079464728234,alg3,0.1,prop_127,0.4976029060523221,0.5298135844154426,True,0.03221067836312047,0.03221067836312047
model-71,model-71,0.5180463749868849,alg3,0.1,prop_127,0.4903343720461458,0.5214838817059003,True,0.031149509659754493,0.031149509659754493
model-06,model-06,0.502183908045977,alg3,0.1,prop_127,0.4924313788224935,0.5243932935144182,True,0.03196191469192472,0.03196191469192472
model-55,model-55,0.5201383238405207,alg3,0.1,prop_127,0.5154518718770803,0.5469551696624929,True,0.03150329778541261,0.03150329778541261
model-28,model-28,0.4916529379461834,alg3,0.1,prop_127,0.4778299528493776,0.5103352965971261,True,0.03250534374774844,0.03250534374774844
gemini-2.5-flash,gemini-2.5-flash,0.4651758279276203,alg3,0.1,prop_127,0.4593015741883561,0.491757328397937,True,0.03245575420958091,0.03245575420958091
gemini-2.5-pro,gemini-2.5-pro,0.5119755244755245,alg3,0.1,prop_127,0.5056043879003378,0.5375340252313333,True,0.03192963733099552,0.03192963733099552
gemini-3-flash-thinking-minimal,gemini-3-flash-thinking-minimal,0.5005739330063654,alg3,0.1,prop_127,0.4801942198611573,0.5120533986644863,True,0.031859178803329,0.031859178803329
gemini-3.1-flash-lite-preview,gemini-3.1-flash-lite-preview,0.4624213836477987,alg3,0.1,prop_127,0.4532592969851049,0.4847492071675609,True,0.031489910182456005,0.031489910182456005
gemini-3.1-pro-preview,gemini-3.1-pro-preview,0.5633317104836092,alg3,0.1,prop_127,0.5448788165874855,0.5769166318643706,True,0.032037815276885095,0.032037815276885095
gpt-5.2,gpt-5.2,0.4514239656098872,alg3,0.1,prop_127,0.4376186685643939,0.4681293377157861,True,0.030510669151392167,0.030510669151392167
gpt-5.2-high,gpt-5.2-high,0.4623909249563699,alg3,0.1,prop_127,0.4450264453653893,0.4776991363837022,True,0.03267269101831288,0.03267269101831288
gpt-5.3-chat-latest,gpt-5.3-chat-latest,0.4247920133111481,alg3,0.1,prop_127,0.4083243925424952,0.4402249123139756,True,0.031900519771480396,0.031900519771480396
gpt-5.4-high-no-system-prompt,gpt-5.4-high-no-system-prompt,0.5459063702436939,alg3,0.1,prop_127,0.5127928121751054,0.5452212749590494,False,0.03242846278394396,0.03242846278394396
gpt-5.4-mini-high,gpt-5.4-mini-high,0.4661523929471032,alg3,0.1,prop_127,0.4457387552781159,0.4773311900414276,True,0.031592434763311694,0.031592434763311694
gpt-5.4-nano-high,gpt-5.4-nano-high,0.4116967660646787,alg3,0.1,prop_127,0.3898361393444579,0.4216359779218428,True,0.03179983857738494,0.03179983857738494
gpt-5.4-no-system-prompt,gpt-5.4-no-system-prompt,0.525892948521134,alg3,0.1,prop_127,0.5003873150565102,0.5326151932613521,True,0.03222787820484185,0.03222787820484185
gpt-5.5-high-text,gpt-5.5-high-text,0.5524964589235127,alg3,0.1,prop_127,0.5187488936942819,0.5490198068576686,False,0.030270913163386703,0.030270913163386703
gpt-5.5-instant,gpt-5.5-instant,0.4768008266089352,alg3,0.1,prop_127,0.4466610755051454,0.4784639451673,True,0.03180286966215462,0.03180286966215462
gpt-5.5-text,gpt-5.5-text,0.540727304137514,alg3,0.1,prop_127,0.5158697202858454,0.5482698158554882,True,0.03240009556964274,0.03240009556964274
gpt-5.5-xhigh,gpt-5.5-xhigh,0.5409586056644881,alg3,0.1,prop_127,0.5148485913029002,0.5461026169128167,True,0.031254025609916525,0.031254025609916525
gpt-5.5-xhigh-text,gpt-5.5-xhigh-text,0.5451811995568919,alg3,0.1,prop_127,0.513350592061393,0.54619900672575,True,0.03284841466435695,0.03284841466435695
grok-4-1-fast-non-reasoning,grok-4-1-fast-non-reasoning,0.4408376963350785,alg3,0.1,prop_127,0.4299801827241331,0.4618634312780464,True,0.031883248553913335,0.031883248553913335
grok-4.1,grok-4.1,0.4966009517335146,alg3,0.1,prop_127,0.4641170620985986,0.4956468477911868,False,0.031529785692588186,0.031529785692588186
grok-4.1-thinking,grok-4.1-thinking,0.4875289065080938,alg3,0.1,prop_127,0.459203778629615,0.4896037911865087,True,0.03040001255689373,0.03040001255689373
grok-4.20-beta-0309-reasoning,grok-4.20-beta-0309-reasoning,0.5229626529971755,alg3,0.1,prop_127,0.5048796873946548,0.5361117633978326,True,0.03123207600317779,0.03123207600317779
grok-4.20-multi-agent-beta-0309,grok-4.20-multi-agent-beta-0309,0.5144668400520156,alg3,0.1,prop_127,0.5031809609992831,0.5342137475064215,True,0.031032786507138366,0.031032786507138366
grok-4.3-text,grok-4.3-text,0.4601354872329338,alg3,0.1,prop_127,0.4465140898366183,0.4789247441916205,True,0.03241065435500223,0.03241065435500223
model-63,model-63,0.5801152122893108,alg3,0.1,prop_127,0.5599470876527364,0.5908908555985153,True,0.03094376794577891,0.03094376794577891
model-37,model-37,0.5629637712789175,alg3,0.1,prop_127,0.5469706754385035,0.5788188693117897,True,0.03184819387328619,0.03184819387328619
model-15,model-15,0.5754525116941225,alg3,0.1,prop_127,0.5505351444702108,0.5819024953266011,True,0.03136735085639031,0.03136735085639031
kimi-k2-thinking-turbo,kimi-k2-thinking-turbo,0.4647399925177703,alg3,0.1,prop_127,0.4536134382812933,0.4856609137106725,True,0.03204747542937919,0.03204747542937919
kimi-k2.5-instant-20260302,kimi-k2.5-instant-20260302,0.5137191319531055,alg3,0.1,prop_127,0.4951824477079383,0.526902792021282,True,0.031720344313343696,0.031720344313343696
kimi-k2.5-text,kimi-k2.5-text,0.5163084228942765,alg3,0.1,prop_127,0.4961674007172111,0.5281491525884106,True,0.03198175187119945,0.03198175187119945
kimi-k2.6-text,kimi-k2.6-text,0.5222162015713898,alg3,0.1,prop_127,0.510984865689502,0.5437180275123243,True,0.032733161822822376,0.032733161822822376
model-22,model-22,0.5567980513728964,alg3,0.1,prop_127,0.5376213463046529,0.5685119915356303,True,0.030890645230977398,0.030890645230977398
model-01,model-01,0.5255226868327402,alg3,0.1,prop_127,0.5127528678787208,0.5450171702994504,True,0.03226430242072964,0.03226430242072964
model-59,model-59,0.4582629900581504,alg3,0.1,prop_127,0.460150017595271,0.4909396436896138,False,0.03078962609434277,0.03078962609434277
model-14,model-14,0.5008753160863645,alg3,0.1,prop_127,0.4930172982471455,0.5243336066389237,True,0.03131630839177818,0.03131630839177818
mimo-v2.5-pro-text,mimo-v2.5-pro-text,0.5327407243816255,alg3,0.1,prop_127,0.5235476098782891,0.5554566290713941,True,0.03190901919310507,0.03190901919310507
mimo-v2.5-text,mimo-v2.5-text,0.48037814664175,alg3,0.1,prop_127,0.4705167969637851,0.5032879352116564,True,0.032771138247871257,0.032771138247871257
minimax-m2.5,minimax-m2.5,0.3633814518641604,alg3,0.1,prop_127,0.3470931591714201,0.37896548128382,True,0.03187232211239993,0.03187232211239993
