task_id,label,theta,algo,alpha,alpha1,alpha2,alpha3,alloc,L,U,covered,width,width_clip,L_tilde,U_tilde,delta_L,delta_U,W1,W2,W3
model-61,model-61,0.5789872322008224,alg1,0.2,0.02,0.04,0.1399999999999999,prop_127,0.5454400613082053,0.6030485069486428,True,0.05760844564043743,0.05760844564043743,,,,,,,
model-19,model-19,0.5,alg1,0.2,0.02,0.04,0.1399999999999999,prop_127,0.4644580591684115,0.5233609028432351,True,0.058902843674823624,0.058902843674823624,,,,,,,
claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,0.4531099967993172,alg1,0.2,0.02,0.04,0.1399999999999999,prop_127,0.4366928747674194,0.4916949606635606,True,0.055002085896141195,0.055002085896141195,,,,,,,
claude-opus-4-5-20251101,claude-opus-4-5-20251101,0.5285029302077784,alg1,0.2,0.02,0.04,0.1399999999999999,prop_127,0.501818670983674,0.5566116135863497,True,0.05479294260267564,0.05479294260267564,,,,,,,
claude-opus-4-6,claude-opus-4-6,0.5888912832668893,alg1,0.2,0.02,0.04,0.1399999999999999,prop_127,0.5528857721797213,0.6071648759360279,True,0.05427910375630651,0.05427910375630651,,,,,,,
claude-opus-4-6-thinking,claude-opus-4-6-thinking,0.596816522136011,alg1,0.2,0.02,0.04,0.1399999999999999,prop_127,0.5614895577841673,0.6169531902436884,True,0.05546363245952113,0.05546363245952113,,,,,,,
claude-opus-4-7,claude-opus-4-7,0.5681009212730318,alg1,0.2,0.02,0.04,0.1399999999999999,prop_127,0.5353682146880303,0.5899625195973347,True,0.05459430490930439,0.05459430490930439,,,,,,,
claude-opus-4-7-thinking,claude-opus-4-7-thinking,0.5697576838350992,alg1,0.2,0.02,0.04,0.1399999999999999,prop_127,0.539190225689815,0.5942573950992474,True,0.05506716940943235,0.05506716940943235,,,,,,,
claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,0.528042442615851,alg1,0.2,0.02,0.04,0.1399999999999999,prop_127,0.4954235990472495,0.5517838804542758,True,0.05636028140702637,0.05636028140702637,,,,,,,
claude-sonnet-4-5-20250929-thinking-32k,claude-sonnet-4-5-20250929-thinking-32k,0.5146166574738004,alg1,0.2,0.02,0.04,0.1399999999999999,prop_127,0.487684552331709,0.5430420895111521,True,0.055357537179443084,0.055357537179443084,,,,,,,
claude-sonnet-4-6,claude-sonnet-4-6,0.5379706445437141,alg1,0.2,0.02,0.04,0.1399999999999999,prop_127,0.5067083074889456,0.561634472823889,True,0.05492616533494343,0.05492616533494343,,,,,,,
model-46,model-46,0.5579974271012007,alg1,0.2,0.02,0.04,0.1399999999999999,prop_127,0.5461549415132544,0.6039730509650636,True,0.05781810945180921,0.05781810945180921,,,,,,,
model-32,model-32,0.4424595941183619,alg1,0.2,0.02,0.04,0.1399999999999999,prop_127,0.420480054532015,0.4771281123611744,True,0.05664805782915944,0.05664805782915944,,,,,,,
deepseek-v4-ch3-text,deepseek-v4-ch3-text,0.4907120743034056,alg1,0.2,0.02,0.04,0.1399999999999999,prop_127,0.4713997917755989,0.5266975817685242,True,0.05529778999292534,0.05529778999292534,,,,,,,
