task_id,label,theta,algo,alpha,alpha1,alpha2,alpha3,alloc,L,U,covered,width,width_clip,L_tilde,U_tilde,delta_L,delta_U,W1,W2,W3
model-61,model-61,0.5789872322008224,alg1,0.15,0.015,0.03,0.105,prop_127,0.5415366451604339,0.6054429360762643,True,0.06390629091583044,0.06390629091583044,,,,,,,
model-19,model-19,0.5,alg1,0.15,0.015,0.03,0.105,prop_127,0.4594783627109681,0.5264236335804209,True,0.06694527086945279,0.06694527086945279,,,,,,,
claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,0.4531099967993172,alg1,0.15,0.015,0.03,0.105,prop_127,0.4313574027755804,0.4942538771051736,True,0.06289647432959322,0.06289647432959322,,,,,,,
claude-opus-4-5-20251101,claude-opus-4-5-20251101,0.5285029302077784,alg1,0.15,0.015,0.03,0.105,prop_127,0.4973983705071511,0.5602884782848987,True,0.06289010777774762,0.06289010777774762,,,,,,,
claude-opus-4-6,claude-opus-4-6,0.5888912832668893,alg1,0.15,0.015,0.03,0.105,prop_127,0.5495767603022006,0.609619488345355,True,0.06004272804315436,0.06004272804315436,,,,,,,
claude-opus-4-6-thinking,claude-opus-4-6-thinking,0.596816522136011,alg1,0.15,0.015,0.03,0.105,prop_127,0.5567677151134358,0.6201758798596301,True,0.06340816474619426,0.06340816474619426,,,,,,,
claude-opus-4-7,claude-opus-4-7,0.5681009212730318,alg1,0.15,0.015,0.03,0.105,prop_127,0.5307993515107398,0.5919072714144649,True,0.061107919903725105,0.061107919903725105,,,,,,,
claude-opus-4-7-thinking,claude-opus-4-7-thinking,0.5697576838350992,alg1,0.15,0.015,0.03,0.105,prop_127,0.534584805329929,0.5957714609446455,True,0.06118665561471648,0.06118665561471648,,,,,,,
claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,0.528042442615851,alg1,0.15,0.015,0.03,0.105,prop_127,0.4913464538465949,0.5542259435596504,True,0.06287948971305546,0.06287948971305546,,,,,,,
claude-sonnet-4-5-20250929-thinking-32k,claude-sonnet-4-5-20250929-thinking-32k,0.5146166574738004,alg1,0.15,0.015,0.03,0.105,prop_127,0.4834386408949364,0.5461521008598137,True,0.06271345996487732,0.06271345996487732,,,,,,,
claude-sonnet-4-6,claude-sonnet-4-6,0.5379706445437141,alg1,0.15,0.015,0.03,0.105,prop_127,0.5032283709475361,0.5641602891964053,True,0.06093191824886912,0.06093191824886912,,,,,,,
model-46,model-46,0.5579974271012007,alg1,0.15,0.015,0.03,0.105,prop_127,0.5443745356490172,0.6061018105064396,True,0.061727274857422465,0.061727274857422465,,,,,,,
model-32,model-32,0.4424595941183619,alg1,0.15,0.015,0.03,0.105,prop_127,0.4165766156603752,0.4793302562510741,True,0.06275364059069893,0.06275364059069893,,,,,,,
deepseek-v4-ch3-text,deepseek-v4-ch3-text,0.4907120743034056,alg1,0.15,0.015,0.03,0.105,prop_127,0.4658305156167718,0.5302546064958571,True,0.0644240908790853,0.0644240908790853,,,,,,,
deepseek-v4-ch3-thinking-text,deepseek-v4-ch3-thinking-text,0.4734115495962212,alg1,0.15,0.015,0.03,0.105,prop_127,0.4534318446903847,0.5173347754918626,True,0.06390293080147785,0.06390293080147785,,,,,,,
deepseek-v4-pro-ch1-text,deepseek-v4-pro-ch1-text,0.5198769522006625,alg1,0.15,0.015,0.03,0.105,prop_127,0.4834932424018084,0.5475562939180354,True,0.06406305151622699,0.06406305151622699,,,,,,,
deepseek-v4-pro-ch1-thinking-text,deepseek-v4-pro-ch1-thinking-text,0.5123079464728234,alg1,0.15,0.015,0.03,0.105,prop_127,0.4809699500915616,0.5444367924007246,True,0.063466842309163,0.063466842309163,,,,,,,
model-71,model-71,0.5180463749868849,alg1,0.15,0.015,0.03,0.105,prop_127,0.4741769508264776,0.536953825814205,True,0.06277687498772744,0.06277687498772744,,,,,,,
model-06,model-06,0.502183908045977,alg1,0.15,0.015,0.03,0.105,prop_127,0.4746668191506471,0.541191442115558,True,0.0665246229649109,0.0665246229649109,,,,,,,
