variant,alpha,model,W_synth,W_truth,W_L,W_U,W_width,covered,k_L,k_U
conformal_only,0.05,model-61,0.5741566083119128,0.5789872322008224,0.5556501719728459,0.5925495735683348,0.03689940159548888,True,1,73
conformal_only,0.1,model-61,0.5741566083119128,0.5789872322008224,0.5586615102226157,0.589723548109837,0.031062037887221283,True,3,71
conformal_only,0.15,model-61,0.5741566083119128,0.5789872322008224,0.5603023991528685,0.5884764871959216,0.028174088043053103,True,5,69
conformal_only,0.2,model-61,0.5741566083119128,0.5789872322008224,0.5619057572099143,0.5865111394583282,0.02460538224841391,True,7,67
conformal_only,0.3,model-61,0.5741566083119128,0.5789872322008224,0.5645508826352358,0.5828023953522651,0.018251512717029295,True,11,63
conformal_only,0.4,model-61,0.5741566083119128,0.5789872322008224,0.5660717925421148,0.5800638218551254,0.013992029313010579,True,14,60
conformal_only,0.5,model-61,0.5741566083119128,0.5789872322008224,0.5668165356904933,0.5786970015328345,0.011880465842341259,False,18,56
conformal_only,0.7,model-61,0.5741566083119128,0.5789872322008224,0.5682923508405804,0.5772948924146497,0.009002541574069323,False,25,49
conformal_only,0.9,model-61,0.5741566083119128,0.5789872322008224,0.5720827874243967,0.5747637640517234,0.002680976627326692,False,33,41
conformal_only,0.05,model-19,0.4941264511882938,0.5,0.4754225862705586,0.5124749794396098,0.037052393169051234,True,1,73
conformal_only,0.1,model-19,0.4941264511882938,0.5,0.4776002104150587,0.5100087845637087,0.032408574148650005,True,3,71
conformal_only,0.15,model-19,0.4941264511882938,0.5,0.48009376928990055,0.5083833356694025,0.028289566379501974,True,5,69
conformal_only,0.2,model-19,0.4941264511882938,0.5,0.4826024483124091,0.5066904815522185,0.024088033239809403,True,7,67
conformal_only,0.3,model-19,0.4941264511882938,0.5,0.4841297833725878,0.503028586073873,0.018898802701285244,True,11,63
conformal_only,0.4,model-19,0.4941264511882938,0.5,0.4858641234007831,0.49972957549218544,0.01386545209140233,False,14,60
conformal_only,0.5,model-19,0.4941264511882938,0.5,0.486611757224678,0.4988798258608892,0.012268068636211216,False,18,56
conformal_only,0.7,model-19,0.4941264511882938,0.5,0.4880216563458605,0.49762792627771185,0.009606269931851374,False,25,49
conformal_only,0.9,model-19,0.4941264511882938,0.5,0.4919593126327719,0.49517519319554376,0.003215880562771889,False,33,41
conformal_only,0.05,claude-haiku-4-5-20251001,0.46471950073647,0.4531099967993172,0.4456287723821546,0.4835027861076097,0.037874013725455125,True,1,73
conformal_only,0.1,claude-haiku-4-5-20251001,0.46471950073647,0.4531099967993172,0.44753350206680875,0.4792031650797996,0.031669663012990845,True,3,71
conformal_only,0.15,claude-haiku-4-5-20251001,0.46471950073647,0.4531099967993172,0.45000229083328114,0.4785800317545631,0.028577740921281958,True,5,69
conformal_only,0.2,claude-haiku-4-5-20251001,0.46471950073647,0.4531099967993172,0.4525078095481042,0.47636145457651613,0.02385364502841192,True,7,67
conformal_only,0.3,claude-haiku-4-5-20251001,0.46471950073647,0.4531099967993172,0.45587134330048634,0.47297963437971663,0.017108291079230287,False,11,63
conformal_only,0.4,claude-haiku-4-5-20251001,0.46471950073647,0.4531099967993172,0.45620917440160313,0.47073220425947326,0.014523029857870129,False,14,60
conformal_only,0.5,claude-haiku-4-5-20251001,0.46471950073647,0.4531099967993172,0.4572683687074597,0.469705485785777,0.012437117078317295,False,18,56
conformal_only,0.7,claude-haiku-4-5-20251001,0.46471950073647,0.4531099967993172,0.45941172981814266,0.46834797225218816,0.008936242434045505,False,25,49
conformal_only,0.9,claude-haiku-4-5-20251001,0.46471950073647,0.4531099967993172,0.4627084258257747,0.4654804823773171,0.00277205655154239,False,33,41
conformal_only,0.05,claude-opus-4-5-20251101,0.5297027256859452,0.5285029302077784,0.5121248136039679,0.5486268559089493,0.03650204230498144,True,1,73
conformal_only,0.1,claude-opus-4-5-20251101,0.5297027256859452,0.5285029302077784,0.5128699591786393,0.5454160853155401,0.03254612613690078,True,3,71
conformal_only,0.15,claude-opus-4-5-20251101,0.5297027256859452,0.5285029302077784,0.5160910408616352,0.5437041031404521,0.02761306227881699,True,5,69
