alpha,model,a1,a2,a3,W_truth,W_L,W_U,W_width,covered_W,Elo_width,s1,s2,tau
0.05,model-61,0.005000000000000001,0.010000000000000002,0.034999999999999996,0.5789872322008224,0.5363922583146856,0.6120389004515203,0.0756466421368347,True,53.86360926610956,0.0020282157425796582,0.004826183137698407,0.007089954049611281
0.1,model-61,0.010000000000000002,0.020000000000000004,0.06999999999999999,0.5789872322008224,0.5390127975724748,0.606602601741158,0.06758980416868321,True,48.06503108720518,0.0020282157425796582,0.004826183137698407,0.007089954049611281
0.15,model-61,0.015,0.03,0.105,0.5789872322008224,0.5415366451604339,0.6054429360762643,0.06390629091583044,True,45.456068495451525,0.0020282157425796582,0.004826183137698407,0.007089954049611281
0.2,model-61,0.020000000000000004,0.04000000000000001,0.13999999999999999,0.5789872322008224,0.5454400613082053,0.6030485069486428,0.05760844564043743,True,40.983572746878615,0.0020282157425796582,0.004826183137698407,0.007089954049611281
0.3,model-61,0.03,0.06,0.21,0.5789872322008224,0.5481650259332256,0.5988314278764246,0.050666401943199046,True,36.018481305499115,0.0020282157425796582,0.004826183137698407,0.007089954049611281
0.4,model-61,0.04000000000000001,0.08000000000000002,0.27999999999999997,0.5789872322008224,0.5504271695517092,0.5955929941816501,0.0451658246299409,True,32.09244171206272,0.0020282157425796582,0.004826183137698407,0.007089954049611281
0.5,model-61,0.05,0.1,0.35,0.5789872322008224,0.5516090423275315,0.5935317679226542,0.04192272559512267,True,29.777131802744027,0.0020282157425796582,0.004826183137698407,0.007089954049611281
0.6,model-61,0.06,0.12,0.42,0.5789872322008224,0.5546005685061376,0.591638390292186,0.03703782178604842,True,26.31231505843356,0.0020282157425796582,0.004826183137698407,0.007089954049611281
0.7,model-61,0.06999999999999999,0.13999999999999999,0.48999999999999994,0.5789872322008224,0.5561358283110016,0.5896235905234316,0.033487762212429995,True,23.784671794237447,0.0020282157425796582,0.004826183137698407,0.007089954049611281
0.75,model-61,0.07500000000000001,0.15000000000000002,0.5249999999999999,0.5789872322008224,0.5565080962639043,0.5890854681201609,0.03257737185625664,True,23.13640724909796,0.0020282157425796582,0.004826183137698407,0.007089954049611281
0.8,model-61,0.08000000000000002,0.16000000000000003,0.5599999999999999,0.5789872322008224,0.5568074216752542,0.5887683400761949,0.03196091840094073,True,22.698147835058506,0.0020282157425796582,0.004826183137698407,0.007089954049611281
0.85,model-61,0.085,0.17,0.595,0.5789872322008224,0.5576136339137344,0.5879171124448477,0.03030347853111326,True,21.519948523949424,0.0020282157425796582,0.004826183137698407,0.007089954049611281
0.9,model-61,0.09000000000000001,0.18000000000000002,0.63,0.5789872322008224,0.5580863198688355,0.5877183103789552,0.029631990510119666,True,21.04449729356551,0.0020282157425796582,0.004826183137698407,0.007089954049611281
0.92,model-61,0.09200000000000001,0.18400000000000002,0.644,0.5789872322008224,0.5581618299412721,0.5876411407440193,0.02947931080274724,True,20.935984524054124,0.0020282157425796582,0.004826183137698407,0.007089954049611281
0.95,model-61,0.095,0.19,0.6649999999999999,0.5789872322008224,0.5583760735139244,0.5873423075714398,0.028966234057515416,True,20.570853675422242,0.0020282157425796582,0.004826183137698407,0.007089954049611281
