task_id,label,theta,algo,alpha,alpha1,alpha2,alpha3,alloc,n_j,N_j,L,U,covered,width,width_clip,L_tilde,U_tilde,delta_L,delta_U,W1,W2,W3,Elo_truth,Elo_L,Elo_U,theta_L,theta_U,Elo_theta_L,Elo_theta_U,rank,rank_L,rank_U,rank_covered,n_models
gemini-3.1-flash-lite-preview,gemini-3.1-flash-lite-preview,-0.08802417070467053,alg4,0.2,0.0,0.0,0.2,prop_127,9540,9540,-0.11301651905054501,0.0014378002619915495,True,0.11445431931253655,0.11445431931253655,-0.05669876681423098,-0.05669876681423098,-0.05631775223631403,0.05813656707622253,0.0,0.0,0.11445431931253655,-15.291364644459314,-19.632980235026174,0.2497714879447919,-0.11446958946316657,-0.06157875194617449,-19.885404419833545,-10.697324869085083,58,46,61,True,74
gpt-5.4-high-no-system-prompt,gpt-5.4-high-no-system-prompt,0.24238208989071588,alg4,0.2,0.0,0.0,0.2,prop_127,9356,9356,0.12228135203576052,0.2223419804945996,False,0.10006062845883909,0.10006062845883909,0.17926587001016958,0.17926587001016958,-0.05698451797440907,0.043076110484430025,0.0,0.0,0.10006062845883909,42.10608166068635,21.242446571519903,38.62475808969803,0.21564527297186076,0.269118906809571,37.46142084007983,46.75074248129286,14,15,28,False,74
gpt-5.4-no-system-prompt,gpt-5.4-no-system-prompt,0.1607381044435049,alg4,0.2,0.0,0.0,0.2,prop_127,9771,9771,0.07080363686376728,0.18186438767127383,True,0.11106075080750655,0.11106075080750655,0.12323757065160239,0.12323757065160239,-0.05243393378783511,0.05862681701967146,0.0,0.0,0.11106075080750655,27.923068716561094,12.299851515446317,31.593080008139204,0.13464720796361224,0.18682900092339755,23.39061576891055,32.45552166421164,22,20,36,True,74
grok-4.20-beta-0309-reasoning,grok-4.20-beta-0309-reasoning,0.15067236527504113,alg4,0.2,0.0,0.0,0.2,prop_127,9559,9559,0.09045281012541717,0.20058764427817222,True,0.11013483415275505,0.11013483415275505,0.14258206717032854,0.14258206717032854,-0.05212925704491137,0.05800557710784367,0.0,0.0,0.11013483415275505,26.174470725704598,15.713262524044504,34.84564281919303,0.1243026684498183,0.17704206210026396,21.59358519744221,30.75535625396699,23,19,34,True,74
grok-4.20-multi-agent-beta-0309,grok-4.20-multi-agent-beta-0309,0.11627924882517607,alg4,0.2,0.0,0.0,0.2,prop_127,9228,9228,0.08739073581665638,0.193721142221537,True,0.10633040640488062,0.10633040640488062,0.13735748667739636,0.13735748667739636,-0.04996675086073999,0.05636365554414064,0.0,0.0,0.10633040640488062,20.199774449851656,15.181325733855493,33.65280923792343,0.08945499537715948,0.14310350227319266,15.539924348392505,24.85962455131081,30,19,34,True,74
gpt-5.3-chat-latest,gpt-5.3-chat-latest,-0.23845227379390127,alg4,0.2,0.0,0.0,0.2,prop_127,6010,6010,-0.2964297713714366,-0.18412522250901622,True,0.11230454886242039,0.11230454886242039,-0.24015903354509588,-0.24015903354509588,-0.05627073782634072,0.05603381103607965,0.0,0.0,0.11230454886242039,-41.423402682389884,-51.49512559138298,-31.985827245949665,-0.27204488475677224,-0.20485966283103027,-47.2590369119489,-35.58776845283086,70,69,72,True,74
mistral-small-2603,mistral-small-2603,-0.22335197400876872,alg4,0.2,0.0,0.0,0.2,prop_127,9528,9528,-0.24437530914506955,-0.13295304211444034,True,0.11142226703062921,0.11142226703062921,-0.1916738405814736,-0.1916738405814736,-0.05270146856359594,0.058720798467033264,0.0,0.0,0.11142226703062921,-38.80021193368271,-42.45233931004199,-23.096309017020836,-0.2500110175695544,-0.19669293044798303,-43.43136213818977,-34.16906172917565,69,65,70,True,74
gpt-5.4-mini-high,gpt-5.4-mini-high,-0.07179612722188011,alg4,0.2,0.0,0.0,0.2,prop_127,9528,9528,-0.1497959986848652,-0.03423799952955409,True,0.11555799915531112,0.11555799915531112,-0.09012020874829137,-0.09012020874829137,-0.059675789936573825,0.055882209218737273,0.0,0.0,0.11555799915531112,-12.472264749794551,-26.02223025600949,-5.94774970683659,-0.09824702924253836,-0.04534522520122186,-17.067257065368732,-7.87727243422037,53,51,65,True,74
gpt-5.4-nano-high,gpt-5.4-nano-high,-0.2881716646644587,alg4,0.2,0.0,0.0,0.2,prop_127,9524,9524,-0.3673245226914965,-0.25587985025428395,True,0.11144467243721257,0.11144467243721257,-0.31206531880832045,-0.31206531880832045,-0.05525920388317607,0.05618546855403652,0.0,0.0,0.11144467243721257,-50.06054552185949,-63.810805309065096,-44.45088279826636,-0.3149723226714715,-0.2613710066574459,-54.71629667538823,-45.40479436833074,72,71,72,True,74
model-14,model-14,0.05956965416773952,alg4,0.2,0.0,0.0,0.2,prop_127,5141,5141,0.03589470924652956,0.14878326105596967,True,0.11288855180944012,0.11288855180944012,0.09275982775035736,0.09275982775035736,-0.056865118503827805,0.05602343330561231,0.0,0.0,0.11288855180944012,10.348308837573729,6.2355496621157664,25.846299710471445,0.0236552221860755,0.09548408614940354,4.109332985443187,16.58728468970427,40,26,41,True,74
qwen3.6-plus-text,qwen3.6-plus-text,0.0644384713488508,alg4,0.2,0.0,0.0,0.2,prop_127,7907,7907,0.08855640070602211,0.18269066549952126,False,0.09413426479349915,0.09413426479349915,0.12541605879247048,0.12541605879247048,-0.036859658086448366,0.05727460670705078,0.0,0.0,0.09413426479349915,11.194109011634678,15.383822465535454,31.736619168669947,0.03547372022402624,0.09340322247367537,6.162416378349754,16.225801644919606,37,20,35,False,74
claude-opus-4-7,claude-opus-4-7,0.3361420105169695,alg4,0.2,0.0,0.0,0.2,prop_127,9552,9552,0.26349172489639633,0.3743979091635415,True,0.11090618426714516,0.11090618426714516,0.31374211516687045,0.31374211516687045,-0.05025039027047413,0.06065579399667105,0.0,0.0,0.11090618426714516,58.39384812135388,45.77320085986984,65.03957839433639,0.30954819884419305,0.362735822189746,53.77402985644944,63.01366638625832,7,3,10,True,74
claude-opus-4-7-thinking,claude-opus-4-7-thinking,0.3364488117852885,alg4,0.2,0.0,0.0,0.2,prop_127,9533,9533,0.26961369748326003,0.38072861140893777,True,0.11111491392567774,0.11111491392567774,0.32387137025795065,0.32387137025795065,-0.05425767277469062,0.056857241150987115,0.0,0.0,0.11111491392567774,58.44714496050263,46.836696425004995,66.13933401503564,0.30981853815895094,0.3630790854116261,53.82099260550578,63.07329731549947,5,3,10,True,74
grok-4.3-text,grok-4.3-text,-0.11020638201876985,alg4,0.2,0.0,0.0,0.2,prop_127,11514,11514,-0.14686642407000602,-0.03744239027267732,True,0.10942403379732871,0.10942403379732871,-0.09522057545722121,-0.09522057545722121,-0.051645848612784824,0.05777818518454389,0.0,0.0,0.10942403379732871,-19.1448094325094,-25.513311020186617,-6.5044093938767,-0.13428595890856856,-0.08612680512897114,-23.32786038043126,-14.961758484587541,60,51,64,True,74
kimi-k2.6-text,kimi-k2.6-text,0.14761936090715036,alg4,0.2,0.0,0.0,0.2,prop_127,7382,7382,0.11379928514784222,0.22720639857164587,True,0.11340711342380365,0.11340711342380365,0.1704922054539001,0.1704922054539001,-0.05669292030605787,0.05671419311774577,0.0,0.0,0.11340711342380365,25.644109545624005,19.768960633697024,39.46979406111067,0.11761878581075708,0.17761993600354364,20.432475858308916,30.855743232939094,25,16,29,True,74
