app,task_def,alloc,algo,alpha,n_tasks,coverage_pct,mean_width,mean_width_clip,W1,W2,W3
ANES,main,abs_005_005,alg1,0.1,33,100.0,35.223521362594084,34.78121538585218,1.1055541531924333,4.684005802241998,29.433961407159657
ANES,main,abs_005_005,alg1,0.15,33,96.96969696969697,30.022977535765616,29.925894176309313,1.1055541531924333,4.270869464740322,24.64655391783286
ANES,main,abs_005_005,synth_only,0.1,33,3.0303030303030303,0.6478278883487613,0.6478278883487613,0.6478278883487613,0.0,0.0
ANES,main,abs_005_005,synth_only,0.15,33,3.0303030303030303,0.5669614716769925,0.5669614716769925,0.5669614716769925,0.0,0.0
Autorater,AR_M,prop_127,alg1,0.1,73,100.0,0.06690886177774676,0.06690886177774676,nan,nan,nan
Autorater,AR_M,prop_127,alg1,0.15,73,100.0,0.06326281092749837,0.06326281092749837,nan,nan,nan
Autorater,AR_M,prop_127,alg1,0.2,73,100.0,0.05609282549457657,0.05609282549457657,nan,nan,nan
Autorater,AR_M,prop_127,alg3,0.1,73,91.78082191780823,0.03181149334247418,0.03181149334247418,nan,nan,nan
Autorater,AR_M,prop_127,alg3,0.15,73,87.67123287671232,0.028279780032960035,0.028279780032960035,nan,nan,nan
Autorater,AR_M,prop_127,alg3,0.2,73,82.1917808219178,0.02386644608990632,0.02386644608990632,nan,nan,nan
Autorater,AR_M,prop_127,synth_only,0.1,73,19.17808219178082,0.005859535378658964,0.005859535378658964,nan,nan,nan
Autorater,AR_M,prop_127,synth_only,0.15,73,15.068493150684931,0.00512810711205351,0.00512810711205351,nan,nan,nan
Autorater,AR_M,prop_127,synth_only,0.2,73,12.32876712328767,0.0045653282546495675,0.0045653282546495675,nan,nan,nan
Autorater_BT,BT_m24,prop_127,alg1,0.1,50,100.0,0.3610461846592656,0.3610461846592656,0.12153899166496046,0.08925511032487007,0.15025208266943507
Autorater_BT,BT_m24,prop_127,alg1,0.15,50,100.0,0.3370906313608314,0.3370906313608314,0.11477037617361177,0.0898835153166908,0.13243673987052884
Autorater_BT,BT_m24,prop_127,alg1,0.2,50,100.0,0.3079504326133592,0.3079504326133592,0.10976735705401548,0.07666757945830074,0.12151549610104295
Autorater_BT,BT_m24,prop_127,alg4,0.1,50,92.0,0.13243673987052884,0.13243673987052884,0.0,0.0,0.13243673987052884
Autorater_BT,BT_m24,prop_127,alg4,0.15,50,88.0,0.12151549610104295,0.12151549610104295,0.0,0.0,0.12151549610104295
Autorater_BT,BT_m24,prop_127,alg4,0.2,50,80.0,0.10147869389797784,0.10147869389797784,0.0,0.0,0.10147869389797784
Autorater_BT,BT_m24,prop_127,synth_only,0.1,50,76.0,0.07761145157433359,0.07761145157433359,0.07761145157433359,0.0,0.0
Autorater_BT,BT_m24,prop_127,synth_only,0.15,50,64.0,0.06792344632727945,0.06792344632727945,0.06792344632727945,0.0,0.0
Autorater_BT,BT_m24,prop_127,synth_only,0.2,50,60.0,0.06046925734882464,0.06046925734882464,0.06046925734882464,0.0,0.0
Autorater_BT,BT_m34,prop_127,alg1,0.1,40,100.0,0.3636055854421696,0.3636055854421696,0.12219298370862516,0.09123806460519393,0.15017453712835055
Autorater_BT,BT_m34,prop_127,alg1,0.15,40,100.0,0.3369982547613129,0.3369982547613129,0.11538794681359912,0.08926995618435987,0.13234035176335393
Autorater_BT,BT_m34,prop_127,alg1,0.2,40,100.0,0.3272379163293263,0.3272379163293263,0.11035800682972959,0.08453955773624279,0.13234035176335393
Autorater_BT,BT_m34,prop_127,alg4,0.1,40,90.0,0.13234035176335393,0.13234035176335393,0.0,0.0,0.13234035176335393
Autorater_BT,BT_m34,prop_127,alg4,0.15,40,85.0,0.12114774310283236,0.12114774310283236,0.0,0.0,0.12114774310283236
Autorater_BT,BT_m34,prop_127,alg4,0.2,40,80.0,0.1084273402412862,0.1084273402412862,0.0,0.0,0.1084273402412862
Autorater_BT,BT_m34,prop_127,synth_only,0.1,40,75.0,0.07802907287537912,0.07802907287537912,0.07802907287537912,0.0,0.0
Autorater_BT,BT_m34,prop_127,synth_only,0.15,40,65.0,0.06828893721105096,0.06828893721105096,0.06828893721105096,0.0,0.0
Autorater_BT,BT_m34,prop_127,synth_only,0.2,40,60.0,0.060794637810277385,0.060794637810277385,0.060794637810277385,0.0,0.0
Autorater_BT,BT_m44,prop_127,alg1,0.1,30,100.0,0.364591717968783,0.364591717968783,0.1251631240183945,0.08989779821305612,0.14953079573733238
Autorater_BT,BT_m44,prop_127,alg1,0.15,30,100.0,0.3511206302019873,0.3511206302019873,0.11819267734468933,0.0833971571199656,0.14953079573733238
Autorater_BT,BT_m44,prop_127,alg1,0.2,30,100.0,0.32740672090635137,0.32740672090635137,0.11304047479673156,0.08471830346566075,0.12964794264395907
Autorater_BT,BT_m44,prop_127,alg4,0.1,30,93.33333333333333,0.14953079573733238,0.14953079573733238,0.0,0.0,0.14953079573733238
Autorater_BT,BT_m44,prop_127,alg4,0.15,30,86.66666666666667,0.12964794264395907,0.12964794264395907,0.0,0.0,0.12964794264395907
Autorater_BT,BT_m44,prop_127,alg4,0.2,30,80.0,0.11674771299577627,0.11674771299577627,0.0,0.0,0.11674771299577627
Autorater_BT,BT_m44,prop_127,synth_only,0.1,30,73.33333333333333,0.07992572264729833,0.07992572264729833,0.07992572264729833,0.0,0.0
Autorater_BT,BT_m44,prop_127,synth_only,0.15,30,66.66666666666666,0.06994883386768308,0.06994883386768308,0.06994883386768308,0.0,0.0
Autorater_BT,BT_m44,prop_127,synth_only,0.2,30,60.0,0.0622723708101418,0.0622723708101418,0.0622723708101418,0.0,0.0
Pew,multidim_gemini_20_flash,bonf_split,multidim_alg1,0.1,64,100.0,1.0,1.0,nan,nan,nan
Pew,multidim_gemini_20_flash,bonf_split,multidim_alg1,0.15,64,100.0,0.39058707647798263,0.39058707647798263,nan,nan,nan
Pew,multidim_gemini_20_flash,bonf_split,multidim_alg1,0.2,64,100.0,0.38561665541913803,0.38561665541913803,nan,nan,nan
Pew,multidim_gemini_20_flash,bonf_split,synth_only,0.1,64,7.8125,0.048121329643861344,0.048121329643861344,0.048121329643861344,0.0,0.0
Pew,multidim_gemini_20_flash,bonf_split,synth_only,0.15,64,7.8125,0.04386802416505338,0.04386802416505338,0.04386802416505338,0.0,0.0
Pew,multidim_gemini_20_flash,bonf_split,synth_only,0.2,64,6.25,0.0405895544090146,0.0405895544090146,0.0405895544090146,0.0,0.0
Pew,multidim_gemini_20_flash_temporal,bonf_split,multidim_alg1,0.2,16,100.0,0.40478505238502693,0.40478505238502693,nan,nan,nan
Pew,multidim_gemini_20_flash_temporal,bonf_split,synth_only,0.2,16,6.25,0.037542086816697094,0.037278586364252936,0.037542086816697094,0.0,0.0
Pew,multidim_gpt_4o,bonf_split,multidim_alg1,0.1,96,100.0,0.364835861162162,0.364835861162162,nan,nan,nan
Pew,multidim_gpt_4o,bonf_split,multidim_alg1,0.15,96,100.0,0.35719137851619537,0.35719137851619537,nan,nan,nan
Pew,multidim_gpt_4o,bonf_split,multidim_alg1,0.2,96,100.0,0.31511665737502603,0.31511665737502603,nan,nan,nan
Pew,multidim_gpt_4o,bonf_split,synth_only,0.1,96,0.0,0.02116224813107397,0.02116224813107397,0.02116224813107397,0.0,0.0
Pew,multidim_gpt_4o,bonf_split,synth_only,0.15,96,0.0,0.01930731863505582,0.01930731863505582,0.01930731863505582,0.0,0.0
Pew,multidim_gpt_4o,bonf_split,synth_only,0.2,96,0.0,0.017866737286038506,0.017866737286038506,0.017866737286038506,0.0,0.0
Pew,multidim_gpt_4o_temporal,bonf_split,multidim_alg1,0.15,16,100.0,0.35211314848477077,0.35211314848477077,nan,nan,nan
Pew,multidim_gpt_4o_temporal,bonf_split,multidim_alg1,0.2,16,100.0,0.3459955673896537,0.3459955673896537,nan,nan,nan
Pew,multidim_gpt_4o_temporal,bonf_split,synth_only,0.15,16,0.0,0.015805841099020203,0.015801824900981046,0.015805841099020203,0.0,0.0
Pew,multidim_gpt_4o_temporal,bonf_split,synth_only,0.2,16,0.0,0.014601974580426065,0.014599326551045719,0.014601974580426065,0.0,0.0
simulated,T100,prop_127,alg1,0.1,1000,98.6,0.5154387974874818,0.4787186594142995,0.0490968963555405,0.08018040113194126,0.38616150000000005
simulated,T100,prop_127,alg1,0.15,1000,97.7,0.4564841410693938,0.4293813941896013,0.04636264614746461,0.0748904949219292,0.335231
simulated,T100,prop_127,alg1,0.2,1000,96.1,0.4144237460059214,0.39320014748558824,0.044341626326461596,0.07070561967945979,0.2993765
simulated,T100,prop_127,alg2,0.1,1000,99.2,0.5639000401086048,0.5178777596933832,0.0490968963555405,0.12864164375306425,0.38616150000000005
simulated,T100,prop_127,alg2,0.15,1000,98.4,0.506637726748758,0.47157137951689576,0.04636264614746461,0.12504408060129335,0.335231
simulated,T100,prop_127,alg2,0.2,1000,98.0,0.46601662481805095,0.4377652035368142,0.044341626326461596,0.12229849849158939,0.2993765
simulated,T100,prop_127,alg3,0.1,1000,91.0,0.335231,0.320711,0.0,0.0,0.335231
simulated,T100,prop_127,alg3,0.15,1000,86.5,0.2993765,0.2881079999999999,0.0,0.0,0.2993765
simulated,T100,prop_127,alg3,0.2,1000,80.30000000000001,0.25974400000000003,0.25142349999999997,0.0,0.0,0.25974400000000003
simulated,T100,prop_127,synth_only,0.1,1000,12.7,0.03135192535126704,0.03135192535126704,0.03135192535126704,0.0,0.0
simulated,T100,prop_127,synth_only,0.15,1000,10.5,0.027438358330588195,0.027438358330588195,0.027438358330588195,0.0,0.0
