task_id,label,theta,algo,alpha,alpha1,alpha2,alpha3,alloc,n_j,N_j,L,U,covered,width,width_clip,L_tilde,U_tilde,delta_L,delta_U,W1,W2,W3,Elo_truth,Elo_L,Elo_U,theta_L,theta_U,Elo_theta_L,Elo_theta_U,rank,rank_L,rank_U,rank_covered,n_models
gemini-3.1-flash-lite-preview,gemini-3.1-flash-lite-preview,-0.08802417070467053,synth_only,0.1,0.1,0.0,0.0,prop_127,9540,9540,-0.09060571542853216,-0.022791818199929807,True,0.06781389722860234,0.06781389722860234,-0.09060571542853216,-0.022791818199929807,0.0,0.0,0.06781389722860234,0.0,0.0,-15.291364644459314,-15.739824895803137,-3.9593443507086485,-0.12196649821661712,-0.054081843192723945,-21.187750861015846,-9.394978427902782,58,51,58,True,74
gpt-5.4-high-no-system-prompt,gpt-5.4-high-no-system-prompt,0.24238208989071588,synth_only,0.1,0.1,0.0,0.0,prop_127,9356,9356,0.1450301410530064,0.21350159896733276,False,0.06847145791432635,0.06847145791432635,0.1450301410530064,0.21350159896733276,0.0,0.0,0.06847145791432635,0.0,0.0,42.10608166068635,25.19431598758838,37.08902652361345,0.20806575688898632,0.27669842289244545,36.1447240359641,48.06743928540859,14,17,25,False,74
gpt-5.4-no-system-prompt,gpt-5.4-no-system-prompt,0.1607381044435049,synth_only,0.1,0.1,0.0,0.0,prop_127,9771,9771,0.08977621541826253,0.15669892588494225,False,0.06692271046667972,0.06692271046667972,0.08977621541826253,0.15669892588494225,0.0,0.0,0.06692271046667972,0.0,0.0,27.923068716561094,15.595725984923622,27.22139153279882,0.1272508013499851,0.1942254075370247,22.105728337626157,33.740409095496034,22,23,34,False,74
grok-4.20-beta-0309-reasoning,grok-4.20-beta-0309-reasoning,0.15067236527504113,synth_only,0.1,0.1,0.0,0.0,prop_127,9559,9559,0.1087427779399929,0.17642135640066417,True,0.06767857846067127,0.06767857846067127,0.1087427779399929,0.17642135640066417,0.0,0.0,0.06767857846067127,0.0,0.0,26.174470725704598,18.890555362467833,30.647528629878153,0.11682722581227872,0.18451750473780354,20.29496780253512,32.05397364887408,23,20,32,True,74
grok-4.20-multi-agent-beta-0309,grok-4.20-multi-agent-beta-0309,0.11627924882517607,synth_only,0.1,0.1,0.0,0.0,prop_127,9228,9228,0.10291692702957714,0.1717980463252156,True,0.06888111929563845,0.06888111929563845,0.10291692702957714,0.1717980463252156,0.0,0.0,0.06888111929563845,0.0,0.0,20.199774449851656,17.87850140135399,29.844377408320142,0.0818506922532165,0.15070780539713563,14.218921594213269,26.180627305490045,30,21,32,True,74
gpt-5.3-chat-latest,gpt-5.3-chat-latest,-0.23845227379390127,synth_only,0.1,0.1,0.0,0.0,prop_127,6010,6010,-0.2832801464863074,-0.1970379206038844,True,0.086242225882423,0.086242225882423,-0.2832801464863074,-0.1970379206038844,0.0,0.0,0.086242225882423,0.0,0.0,-41.423402682389884,-49.21080178069926,-34.22899265758321,-0.28156792318844387,-0.19533662439935867,-48.91335812867993,-33.93344723609983,70,69,71,True,74
mistral-small-2603,mistral-small-2603,-0.22335197400876872,synth_only,0.1,0.1,0.0,0.0,prop_127,9528,9528,-0.22581787403045558,-0.15752980713249162,True,0.06828806689796396,0.06828806689796396,-0.22581787403045558,-0.15752980713249162,0.0,0.0,0.06828806689796396,0.0,0.0,-38.80021193368271,-39.2285826426202,-27.365730389169855,-0.25756848598609305,-0.18913546203144435,-44.7442288703741,-32.85619499699131,69,66,69,True,74
gpt-5.4-mini-high,gpt-5.4-mini-high,-0.07179612722188011,synth_only,0.1,0.1,0.0,0.0,prop_127,9528,9528,-0.12409173772792276,-0.05614867976865997,True,0.06794305795926278,0.06794305795926278,-0.12409173772792276,-0.05614867976865997,0.0,0.0,0.06794305795926278,0.0,0.0,-12.472264749794551,-21.556942778008967,-9.754024715872712,-0.10574549242462083,-0.03784676201913939,-18.369873538461977,-6.5746559611271245,53,52,62,True,74
gpt-5.4-nano-high,gpt-5.4-nano-high,-0.2881716646644587,synth_only,0.1,0.1,0.0,0.0,prop_127,9524,9524,-0.3465374525241096,-0.2775931850925313,True,0.06894426743157833,0.06894426743157833,-0.3465374525241096,-0.2775931850925313,0.0,0.0,0.06894426743157833,0.0,0.0,-50.06054552185949,-60.19972136161236,-48.22287539985374,-0.32256993681575347,-0.25377339251316394,-56.03613743478493,-44.084953608934036,72,72,72,True,74
model-14,model-14,0.05956965416773952,synth_only,0.1,0.1,0.0,0.0,prop_127,5141,5141,0.04665690072082312,0.1388627547798916,True,0.09220585405906848,0.09220585405906848,0.04665690072082312,0.1388627547798916,0.0,0.0,0.09220585405906848,0.0,0.0,10.348308837573729,8.105133810304533,24.12293125711653,0.013473979757761108,0.10566532857771793,2.340670023228705,18.35594765191875,40,26,40,True,74
qwen3.6-plus-text,qwen3.6-plus-text,0.0644384713488508,synth_only,0.1,0.1,0.0,0.0,prop_127,7907,7907,0.08822159160979745,0.1626105259751435,False,0.07438893436534605,0.07438893436534605,0.08822159160979745,0.1626105259751435,0.0,0.0,0.07438893436534605,0.0,0.0,11.194109011634678,15.325660168342901,28.24834165215609,0.02726261575136775,0.10161432694633386,4.7360014332270755,17.652216590042283,37,22,35,False,74
claude-opus-4-7,claude-opus-4-7,0.3361420105169695,synth_only,0.1,0.1,0.0,0.0,prop_127,9552,9552,0.2796582425211984,0.3478259878125425,True,0.06816774529134406,0.06816774529134406,0.2796582425211984,0.3478259878125425,0.0,0.0,0.06816774529134406,0.0,0.0,58.39384812135388,48.581612618287124,60.42356286781397,0.30200922276149433,0.3702747982724447,52.46437557168278,64.32332067102499,7,4,10,True,74
claude-opus-4-7-thinking,claude-opus-4-7-thinking,0.3364488117852885,synth_only,0.1,0.1,0.0,0.0,prop_127,9533,9533,0.289720515404539,0.3580222251113623,True,0.06830170970682325,0.06830170970682325,0.289720515404539,0.3580222251113623,0.0,0.0,0.06830170970682325,0.0,0.0,58.44714496050263,50.32960845374294,62.19483070583539,0.3022692256190641,0.3706283979515129,52.50954269421143,64.38474722679382,5,3,8,True,74
grok-4.3-text,grok-4.3-text,-0.11020638201876985,synth_only,0.1,0.1,0.0,0.0,prop_127,11514,11514,-0.12610902117148698,-0.06433212974295544,True,0.061776891428531544,0.061776891428531544,-0.12610902117148698,-0.06433212974295544,0.0,0.0,0.061776891428531544,0.0,0.0,-19.1448094325094,-21.907380805198862,-11.175635582579844,-0.14111218436610728,-0.07930057967143243,-24.513697199805886,-13.775921665212916,60,53,61,True,74
kimi-k2.6-text,kimi-k2.6-text,0.14761936090715036,synth_only,0.1,0.1,0.0,0.0,prop_127,7382,7382,0.1319653669175114,0.20901904399028878,True,0.07705367707277738,0.07705367707277738,0.1319653669175114,0.20901904399028878,0.0,0.0,0.07705367707277738,0.0,0.0,25.644109545624005,22.924732261845257,36.31032696707019,0.10911403963514794,0.1861246821791528,18.955050124686984,32.333168966561026,25,19,25,True,74
mimo-v2.5-text,mimo-v2.5-text,-0.011914379182530507,synth_only,0.1,0.1,0.0,0.0,prop_127,9097,9097,-0.01827590727124783,0.051054865377077825,True,0.06933077264832566,0.06933077264832566,-0.01827590727124783,0.051054865377077825,0.0,0.0,0.06933077264832566,0.0,0.0,-2.06973965371039,-3.17485027187138,8.869138523031314,-0.046595466402000484,0.02276670803693947,-8.09446157603887,3.95498226861809,49,42,49,True,74
qwen3.6-27b,qwen3.6-27b,-0.016222825352193528,synth_only,0.1,0.1,0.0,0.0,prop_127,6096,6096,0.016336231070309147,0.10099158909193237,False,0.08465535802162322,0.08465535802162322,0.016336231070309147,0.10099158909193237,0.0,0.0,0.08465535802162322,0.0,0.0,-2.818193412535131,2.8378940035726865,17.544035944506746,-0.05858221325429786,0.026136562549910806,-10.17677278160844,4.540385956538179,49,35,44,False,74
gpt-5.5-high-text,gpt-5.5-high-text,0.2628221595033997,synth_only,0.1,0.1,0.0,0.0,prop_127,11296,11296,0.156458574636512,0.21880234802196583,False,0.06234377338545383,0.06234377338545383,0.156458574636512,0.21880234802196583,0.0,0.0,0.06234377338545383,0.0,0.0,45.65688543768911,27.179638244434095,38.00986094936586,0.2315509700154173,0.2940933489913821,40.224523422816425,51.08924745256181,12,15,22,False,74
