task_id,label,theta,algo,alpha,alpha1,alpha2,alpha3,alloc,n_j,N_j,L,U,covered,width,width_clip,L_tilde,U_tilde,delta_L,delta_U,W1,W2,W3,Elo_truth,Elo_L,Elo_U,theta_L,theta_U,Elo_theta_L,Elo_theta_U,rank,rank_L,rank_U,rank_covered,n_models
qwen3.6-plus-text,qwen3.6-plus-text,0.0644384713488508,synth_only,0.15,0.15,0.0,0.0,prop_127,7907,7907,0.09286446564343151,0.15796765194150944,False,0.06510318629807793,0.06510318629807793,0.09286446564343151,0.15796765194150944,0.0,0.0,0.06510318629807793,0.0,0.0,11.194109011634678,16.132209997534567,27.441791822964422,0.03190316655651788,0.09697377614118374,5.542147676294433,16.846070346974926,37,23,35,False,74
claude-opus-4-7,claude-opus-4-7,0.3361420105169695,synth_only,0.15,0.15,0.0,0.0,prop_127,9552,9552,0.2839128303472609,0.34357139998648,True,0.05965856963921912,0.05965856963921912,0.2839128303472609,0.34357139998648,0.0,0.0,0.05965856963921912,0.0,0.0,58.39384812135388,49.3207102245398,59.68446526156129,0.3062699165143346,0.3660141045196044,53.20453388605805,63.58316235664971,7,4,10,True,74
claude-opus-4-7-thinking,claude-opus-4-7-thinking,0.3364488117852885,synth_only,0.15,0.15,0.0,0.0,prop_127,9533,9533,0.29398346441914874,0.35375927609675256,True,0.05977581167760382,0.05977581167760382,0.29398346441914874,0.35375927609675256,0.0,0.0,0.05977581167760382,0.0,0.0,58.44714496050263,51.07015854721491,61.454280612363426,0.30653576107747355,0.3663618624931035,53.250715816784144,63.6435741042211,5,4,8,True,74
grok-4.3-text,grok-4.3-text,-0.11020638201876985,synth_only,0.15,0.15,0.0,0.0,prop_127,11514,11514,-0.12225330892692801,-0.0681878419875144,True,0.05406546693941361,0.05406546693941361,-0.12225330892692801,-0.0681878419875144,0.0,0.0,0.05406546693941361,0.0,0.0,-19.1448094325094,-21.237574984551358,-11.845441403227348,-0.13725430554498183,-0.08315845849255787,-23.843515006259402,-14.446103858759397,60,53,61,True,74
kimi-k2.6-text,kimi-k2.6-text,0.14761936090715036,synth_only,0.15,0.15,0.0,0.0,prop_127,7382,7382,0.1367745568800965,0.2042098540277037,True,0.06743529714760721,0.06743529714760721,0.1367745568800965,0.2042098540277037,0.0,0.0,0.06743529714760721,0.0,0.0,25.644109545624005,23.76017412711534,35.474885101800105,0.11392054366201028,0.18131817815229045,19.790025395131813,31.4981936961162,25,19,25,True,74
mimo-v2.5-text,mimo-v2.5-text,-0.011914379182530507,synth_only,0.15,0.15,0.0,0.0,prop_127,9097,9097,-0.013948730832884292,0.04672768893871429,True,0.060676419771598586,0.060676419771598586,-0.013948730832884292,0.04672768893871429,0.0,0.0,0.060676419771598586,0.0,0.0,-2.06973965371039,-2.423142732110159,8.117430983270093,-0.042266330067860826,0.01843757170279981,-7.3424135675093805,3.2029342600886004,49,42,49,True,74
qwen3.6-27b,qwen3.6-27b,-0.016222825352193528,synth_only,0.15,0.15,0.0,0.0,prop_127,6096,6096,0.02161986857526698,0.09570795158697454,False,0.07408808301170755,0.07408808301170755,0.02161986857526698,0.09570795158697454,0.0,0.0,0.07408808301170755,0.0,0.0,-2.818193412535131,3.7557558486847875,16.626174099394646,-0.053294617623329106,0.02084896691894205,-9.258223339582251,3.62183651451199,49,35,43,False,74
gpt-5.5-high-text,gpt-5.5-high-text,0.2628221595033997,synth_only,0.15,0.15,0.0,0.0,prop_127,11296,11296,0.1603496679702126,0.21491125468826522,False,0.05456158671805261,0.05456158671805261,0.1603496679702126,0.21491125468826522,0.0,0.0,0.05456158671805261,0.0,0.0,45.65688543768911,27.855590389792773,37.33390880400718,0.23545445901988513,0.2901898599869143,40.90262891674058,50.41114195863766,12,16,22,False,74
gpt-5.5-text,gpt-5.5-text,0.21762092518655957,synth_only,0.15,0.15,0.0,0.0,prop_127,11577,11577,0.15725908776255335,0.21114364371844183,False,0.05388455595588848,0.05388455595588848,0.15725908776255335,0.21114364371844183,0.0,0.0,0.05388455595588848,0.0,0.0,37.804626782081286,27.318701617766447,36.67940774234619,0.19064641918149267,0.24459543119162647,33.11867513805461,42.49057842610796,16,17,22,False,74
gpt-5.5-xhigh,gpt-5.5-xhigh,0.21203141446071877,synth_only,0.15,0.15,0.0,0.0,prop_127,4590,4590,0.12609391517502727,0.21166871414249555,False,0.08557479896746828,0.08557479896746828,0.12609391517502727,0.21166871414249555,0.0,0.0,0.08557479896746828,0.0,0.0,36.833629316172605,21.90475662483642,36.77062181745705,0.16917972024245195,0.25488310867898556,29.3895275804931,44.27773105185211,18,18,28,True,74
