task_id,label,theta,algo,alpha,alloc,L,U,covered,width,width_clip
model-61,model-61,0.5789872322008224,synth_only,0.15,prop_127,0.5712369279206166,0.577076288703209,False,0.0058393607825923954,0.0058393607825923954
model-19,model-19,0.5,synth_only,0.15,prop_127,0.4905947781676974,0.4976581242088901,False,0.007063346041192686,0.007063346041192686
claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,0.4531099967993172,synth_only,0.15,prop_127,0.4623495975708809,0.4670894039020591,False,0.004739806331178209,0.004739806331178209
claude-opus-4-5-20251101,claude-opus-4-5-20251101,0.5285029302077784,synth_only,0.15,prop_127,0.5274089990882387,0.5319964522836518,True,0.004587453195413094,0.004587453195413094
claude-opus-4-6,claude-opus-4-6,0.5888912832668893,synth_only,0.15,prop_127,0.5781704576229072,0.5826501661602077,False,0.0044797085373005086,0.0044797085373005086
claude-opus-4-6-thinking,claude-opus-4-6-thinking,0.596816522136011,synth_only,0.15,prop_127,0.5870029738096343,0.5914595807659782,False,0.004456606956343867,0.004456606956343867
claude-opus-4-7,claude-opus-4-7,0.5681009212730318,synth_only,0.15,prop_127,0.5605518504782425,0.5647425144247313,False,0.004190663946488815,0.004190663946488815
claude-opus-4-7-thinking,claude-opus-4-7-thinking,0.5697576838350992,synth_only,0.15,prop_127,0.5645936368198422,0.5688055314943231,False,0.004211894674480909,0.004211894674480909
claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,0.528042442615851,synth_only,0.15,prop_127,0.5217777876783203,0.5262594727003542,False,0.004481685022033943,0.004481685022033943
claude-sonnet-4-5-20250929-thinking-32k,claude-sonnet-4-5-20250929-thinking-32k,0.5146166574738004,synth_only,0.15,prop_127,0.5133458076196618,0.5180418301619161,True,0.004696022542254319,0.004696022542254319
claude-sonnet-4-6,claude-sonnet-4-6,0.5379706445437141,synth_only,0.15,prop_127,0.5320508333472769,0.5366830422600934,False,0.004632208912816571,0.004632208912816571
model-46,model-46,0.5579974271012007,synth_only,0.15,prop_127,0.5719122799018211,0.5779650720089723,False,0.00605279210715115,0.00605279210715115
model-32,model-32,0.4424595941183619,synth_only,0.15,prop_127,0.4465851053465247,0.4517715087566017,False,0.005186403410077034,0.005186403410077034
deepseek-v4-ch3-text,deepseek-v4-ch3-text,0.4907120743034056,synth_only,0.15,prop_127,0.4966474349372432,0.501777695136339,False,0.0051302601990957375,0.0051302601990957375
deepseek-v4-ch3-thinking-text,deepseek-v4-ch3-thinking-text,0.4734115495962212,synth_only,0.15,prop_127,0.4842928049681546,0.4895507752907986,False,0.005257970322644023,0.005257970322644023
deepseek-v4-pro-ch1-text,deepseek-v4-pro-ch1-text,0.5198769522006625,synth_only,0.15,prop_127,0.5143726288855773,0.5196840315854675,False,0.0053114026998901664,0.0053114026998901664
deepseek-v4-pro-ch1-thinking-text,deepseek-v4-pro-ch1-thinking-text,0.5123079464728234,synth_only,0.15,prop_127,0.5117118027302884,0.517051731990391,True,0.005339929260102627,0.005339929260102627
model-71,model-71,0.5180463749868849,synth_only,0.15,prop_127,0.5034994318059933,0.5082549176173523,False,0.004755485811358984,0.004755485811358984
model-06,model-06,0.502183908045977,synth_only,0.15,prop_127,0.5060248710764769,0.5126421914203613,False,0.006617320343884403,0.006617320343884403
model-55,model-55,0.5201383238405207,synth_only,0.15,prop_127,0.5282213640187079,0.5343602777225893,False,0.006138913703881421,0.006138913703881421
model-28,model-28,0.4916529379461834,synth_only,0.15,prop_127,0.4917442202934171,0.4964931160735444,False,0.004748895780127327,0.004748895780127327
gemini-2.5-flash,gemini-2.5-flash,0.4651758279276203,synth_only,0.15,prop_127,0.4734599179971763,0.4790480663283545,False,0.005588148331178211,0.005588148331178211
gemini-2.5-pro,gemini-2.5-pro,0.5119755244755245,synth_only,0.15,prop_127,0.5193738713486421,0.5249097851944143,False,0.0055359138457722334,0.0055359138457722334
gemini-3-flash-thinking-minimal,gemini-3-flash-thinking-minimal,0.5005739330063654,synth_only,0.15,prop_127,0.4939731513435251,0.4984297141872857,False,0.004456562843760614,0.004456562843760614
gemini-3.1-flash-lite-preview,gemini-3.1-flash-lite-preview,0.4624213836477987,synth_only,0.15,prop_127,0.4678810650190072,0.4724007223646024,False,0.004519657345595174,0.004519657345595174
gemini-3.1-pro-preview,gemini-3.1-pro-preview,0.5633317104836092,synth_only,0.15,prop_127,0.5587592923770967,0.5626020385353031,False,0.003842746158206456,0.003842746158206456
gpt-5.2,gpt-5.2,0.4514239656098872,synth_only,0.15,prop_127,0.4514109078154495,0.4558847043934297,True,0.004473796577980194,0.004473796577980194
gpt-5.2-high,gpt-5.2-high,0.4623909249563699,synth_only,0.15,prop_127,0.458789524900566,0.4644714040808093,True,0.0056818791802432655,0.0056818791802432655
gpt-5.3-chat-latest,gpt-5.3-chat-latest,0.4247920133111481,synth_only,0.15,prop_127,0.4214826907993094,0.4272748077891888,True,0.0057921169898794145,0.0057921169898794145
gpt-5.4-high-no-system-prompt,gpt-5.4-high-no-system-prompt,0.5459063702436939,synth_only,0.15,prop_127,0.5281315777392215,0.5326051759092394,False,0.004473598170017912,0.004473598170017912
gpt-5.4-mini-high,gpt-5.4-mini-high,0.4661523929471032,synth_only,0.15,prop_127,0.4593894105212365,0.4638921018653051,False,0.00450269134406861,0.00450269134406861
gpt-5.4-nano-high,gpt-5.4-nano-high,0.4116967660646787,synth_only,0.15,prop_127,0.4037219571827701,0.4082229593979228,False,0.004501002215152705,0.004501002215152705
gpt-5.4-no-system-prompt,gpt-5.4-no-system-prompt,0.525892948521134,synth_only,0.15,prop_127,0.5143539073245597,0.5188973575372048,False,0.004543450212645128,0.004543450212645128
gpt-5.5-high-text,gpt-5.5-high-text,0.5524964589235127,synth_only,0.15,prop_127,0.532051863830839,0.53598192418973,False,0.0039300603588909855,0.0039300603588909855
gpt-5.5-instant,gpt-5.5-instant,0.4768008266089352,synth_only,0.15,prop_127,0.4610779055247748,0.4641720042236346,False,0.003094098698859793,0.003094098698859793
gpt-5.5-text,gpt-5.5-text,0.540727304137514,synth_only,0.15,prop_127,0.5304811671910205,0.5345104458487245,False,0.004029278657704083,0.004029278657704083
gpt-5.5-xhigh,gpt-5.5-xhigh,0.5409586056644881,synth_only,0.15,prop_127,0.5271872794174723,0.5334783986017473,False,0.00629111918427494,0.00629111918427494
gpt-5.5-xhigh-text,gpt-5.5-xhigh-text,0.5451811995568919,synth_only,0.15,prop_127,0.5274932685456815,0.5328193855375449,False,0.005326116991863472,0.005326116991863472
grok-4-1-fast-non-reasoning,grok-4-1-fast-non-reasoning,0.4408376963350785,synth_only,0.15,prop_127,0.4420076293382349,0.4506034343145003,False,0.008595804976265387,0.008595804976265387
grok-4.1,grok-4.1,0.4966009517335146,synth_only,0.15,prop_127,0.4771920133028599,0.4837573465700254,False,0.0065653332671655185,0.0065653332671655185
grok-4.1-thinking,grok-4.1-thinking,0.4875289065080938,synth_only,0.15,prop_127,0.4711188360885702,0.4769997089607663,False,0.00588087287219613,0.00588087287219613
grok-4.20-beta-0309-reasoning,grok-4.20-beta-0309-reasoning,0.5229626529971755,synth_only,0.15,prop_127,0.5187799163259805,0.523146677144509,True,0.004366760818528492,0.004366760818528492
grok-4.20-multi-agent-beta-0309,grok-4.20-multi-agent-beta-0309,0.5144668400520156,synth_only,0.15,prop_127,0.5174845277390668,0.521873047139927,False,0.004388519400860158,0.004388519400860158
grok-4.3-text,grok-4.3-text,0.4601354872329338,synth_only,0.15,prop_127,0.4617773274183309,0.4658710970745927,False,0.004093769656261792,0.004093769656261792
model-63,model-63,0.5801152122893108,synth_only,0.15,prop_127,0.5727271505911764,0.5786366572190413,False,0.0059095066278649355,0.0059095066278649355
model-37,model-37,0.5629637712789175,synth_only,0.15,prop_127,0.5601539682084464,0.5661215852001789,True,0.005967616991732427,0.005967616991732427
model-15,model-15,0.5754525116941225,synth_only,0.15,prop_127,0.5637190904787913,0.5695765457641181,False,0.005857455285326774,0.005857455285326774
kimi-k2-thinking-turbo,kimi-k2-thinking-turbo,0.4647399925177703,synth_only,0.15,prop_127,0.4672620221087748,0.4730192361576925,False,0.005757214048917658,0.005757214048917658
kimi-k2.5-instant-20260302,kimi-k2.5-instant-20260302,0.5137191319531055,synth_only,0.15,prop_127,0.5091763853720216,0.5136367231812992,False,0.00446033780927757,0.00446033780927757
kimi-k2.5-text,kimi-k2.5-text,0.5163084228942765,synth_only,0.15,prop_127,0.510063971037074,0.5145022394951779,False,0.004438268458103911,0.004438268458103911
kimi-k2.6-text,kimi-k2.6-text,0.5222162015713898,synth_only,0.15,prop_127,0.5255410500624899,0.5301933642661231,False,0.004652314203633212,0.004652314203633212
model-22,model-22,0.5567980513728964,synth_only,0.15,prop_127,0.5501467617261895,0.5557765354291819,False,0.005629773702992447,0.005629773702992447
model-01,model-01,0.5255226868327402,synth_only,0.15,prop_127,0.5274908500099943,0.5314935660176817,False,0.0040027160076874235,0.0040027160076874235
model-59,model-59,0.4582629900581504,synth_only,0.15,prop_127,0.4718632416360234,0.4778358684535927,False,0.0059726268175693265,0.0059726268175693265
model-14,model-14,0.5008753160863645,synth_only,0.15,prop_127,0.5059820698973465,0.5122076285285513,False,0.006225558631204775,0.006225558631204775
mimo-v2.5-pro-text,mimo-v2.5-pro-text,0.5327407243816255,synth_only,0.15,prop_127,0.5381096829947413,0.542676747620828,False,0.004567064626086692,0.004567064626086692
mimo-v2.5-text,mimo-v2.5-text,0.48037814664175,synth_only,0.15,prop_127,0.4849726811833071,0.48978777975166,False,0.004815098568352882,0.004815098568352882
minimax-m2.5,minimax-m2.5,0.3633814518641604,synth_only,0.15,prop_127,0.3605433939256085,0.3655520113149102,True,0.005008617389301695,0.005008617389301695
mistral-medium-2508,mistral-medium-2508,0.4813352476669059,synth_only,0.15,prop_127,0.4744795319885584,0.4803698106187142,False,0.0058902786301557875,0.0058902786301557875
mistral-small-2603,mistral-small-2603,0.4281591099916036,synth_only,0.15,prop_127,0.4334439976471564,0.4382738225196496,False,0.004829824872493171,0.004829824872493171
qwen3-235b-a22b-instruct-2507,qwen3-235b-a22b-instruct-2507,0.4819336906889021,synth_only,0.15,prop_127,0.4739662724571044,0.479890572376395,False,0.00592429991929061,0.00592429991929061
qwen3-max-preview-v2,qwen3-max-preview-v2,0.4885566629752676,synth_only,0.15,prop_127,0.4868539532514245,0.4925576831884503,True,0.005703729937025781,0.005703729937025781
qwen3.5-122b-a10b,qwen3.5-122b-a10b,0.4672853393325834,synth_only,0.15,prop_127,0.4711633968404406,0.4768237826714456,False,0.005660385831004977,0.005660385831004977
qwen3.5-27b,qwen3.5-27b,0.4643560456872784,synth_only,0.15,prop_127,0.4724349178804106,0.478358411929783,False,0.005923494049372424,0.005923494049372424
qwen3.5-35b-a3b,qwen3.5-35b-a3b,0.442993515850144,synth_only,0.15,prop_127,0.4412634892606186,0.4468689013191536,True,0.0056054120585349865,0.0056054120585349865
qwen3.5-397b-a17b-text,qwen3.5-397b-a17b-text,0.5056313352521586,synth_only,0.15,prop_127,0.5175581522675241,0.5218999608944939,False,0.0043418086269697564,0.0043418086269697564
qwen3.5-flash,qwen3.5-flash,0.4387486541452327,synth_only,0.15,prop_127,0.4443980330507669,0.4489905382822452,False,0.0045925052314783055,0.0045925052314783055
qwen3.6-27b,qwen3.6-27b,0.4807250656167979,synth_only,0.15,prop_127,0.4967001840349213,0.5018324524026421,False,0.005132268367720794,0.005132268367720794
qwen3.6-plus-text,qwen3.6-plus-text,0.5010117617301125,synth_only,0.15,prop_127,0.5139545891606223,0.5182523974504596,False,0.004297808289837279,0.004297808289837279
model-02,model-02,0.4517857142857143,synth_only,0.15,prop_127,0.4564111456118774,0.4614113890971812,False,0.0050002434853038125,0.0050002434853038125
model-21,model-21,0.3663909368818557,synth_only,0.15,prop_127,0.3708104631530209,0.3771136421064059,False,0.0063031789533850024,0.0063031789533850024
model-67,model-67,0.4154458196514271,synth_only,0.15,prop_127,0.4194511363546017,0.4244599133065757,False,0.005008776951973992,0.005008776951973992
model-49,model-49,0.5504850088183422,synth_only,0.15,prop_127,0.5534068785120443,0.5578890846416733,False,0.004482206129629018,0.004482206129629018
